INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,period,minicam.energy.input,efficiency,market.name
Colombia,industrial energy use,biomass,biomass,1975,delivered biomass,0.753,Colombia
Colombia,industrial energy use,biomass,biomass,1990,delivered biomass,0.776,Colombia
Colombia,industrial energy use,biomass,biomass,2005,delivered biomass,0.799,Colombia
Colombia,industrial energy use,biomass,biomass,2010,delivered biomass,0.798,Colombia
Colombia,industrial energy use,biomass,biomass,2015,delivered biomass,0.798,Colombia
Colombia,industrial energy use,biomass,biomass,2020,delivered biomass,0.797,Colombia
Colombia,industrial energy use,biomass,biomass,2025,delivered biomass,0.799,Colombia
Colombia,industrial energy use,biomass,biomass,2030,delivered biomass,0.802,Colombia
Colombia,industrial energy use,biomass,biomass,2035,delivered biomass,0.804,Colombia
Colombia,industrial energy use,biomass,biomass,2040,delivered biomass,0.806,Colombia
Colombia,industrial energy use,biomass,biomass,2045,delivered biomass,0.808,Colombia
Colombia,industrial energy use,biomass,biomass,2050,delivered biomass,0.81,Colombia
Colombia,industrial energy use,biomass,biomass,2055,delivered biomass,0.812,Colombia
Colombia,industrial energy use,biomass,biomass,2060,delivered biomass,0.814,Colombia
Colombia,industrial energy use,biomass,biomass,2065,delivered biomass,0.816,Colombia
Colombia,industrial energy use,biomass,biomass,2070,delivered biomass,0.818,Colombia
Colombia,industrial energy use,biomass,biomass,2075,delivered biomass,0.821,Colombia
Colombia,industrial energy use,biomass,biomass,2080,delivered biomass,0.823,Colombia
Colombia,industrial energy use,biomass,biomass,2085,delivered biomass,0.825,Colombia
Colombia,industrial energy use,biomass,biomass,2090,delivered biomass,0.826,Colombia
Colombia,industrial energy use,biomass,biomass,2095,delivered biomass,0.828,Colombia
Colombia,industrial energy use,biomass,biomass,2100,delivered biomass,0.828,Colombia
Colombia,industrial energy use,biomass,biomass cogen,1975,delivered biomass,0.52,Colombia
Colombia,industrial energy use,biomass,biomass cogen,1990,delivered biomass,0.536,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2005,delivered biomass,0.552,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2010,delivered biomass,0.555,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2015,delivered biomass,0.557,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2020,delivered biomass,0.56,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2025,delivered biomass,0.563,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2030,delivered biomass,0.565,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2035,delivered biomass,0.568,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2040,delivered biomass,0.571,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2045,delivered biomass,0.574,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2050,delivered biomass,0.577,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2055,delivered biomass,0.58,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2060,delivered biomass,0.583,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2065,delivered biomass,0.586,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2070,delivered biomass,0.589,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2075,delivered biomass,0.592,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2080,delivered biomass,0.595,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2085,delivered biomass,0.598,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2090,delivered biomass,0.601,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2095,delivered biomass,0.604,Colombia
Colombia,industrial energy use,biomass,biomass cogen,2100,delivered biomass,0.604,Colombia
Colombia,industrial energy use,coal,coal,1975,delivered coal,0.815,Colombia
Colombia,industrial energy use,coal,coal,1990,delivered coal,0.84,Colombia
Colombia,industrial energy use,coal,coal,2005,delivered coal,0.865,Colombia
Colombia,industrial energy use,coal,coal,2010,delivered coal,0.874,Colombia
Colombia,industrial energy use,coal,coal,2015,delivered coal,0.882,Colombia
Colombia,industrial energy use,coal,coal,2020,delivered coal,0.891,Colombia
Colombia,industrial energy use,coal,coal,2025,delivered coal,0.894,Colombia
Colombia,industrial energy use,coal,coal,2030,delivered coal,0.898,Colombia
Colombia,industrial energy use,coal,coal,2035,delivered coal,0.901,Colombia
Colombia,industrial energy use,coal,coal,2040,delivered coal,0.904,Colombia
Colombia,industrial energy use,coal,coal,2045,delivered coal,0.906,Colombia
Colombia,industrial energy use,coal,coal,2050,delivered coal,0.909,Colombia
Colombia,industrial energy use,coal,coal,2055,delivered coal,0.912,Colombia
Colombia,industrial energy use,coal,coal,2060,delivered coal,0.914,Colombia
Colombia,industrial energy use,coal,coal,2065,delivered coal,0.917,Colombia
Colombia,industrial energy use,coal,coal,2070,delivered coal,0.92,Colombia
Colombia,industrial energy use,coal,coal,2075,delivered coal,0.923,Colombia
Colombia,industrial energy use,coal,coal,2080,delivered coal,0.926,Colombia
Colombia,industrial energy use,coal,coal,2085,delivered coal,0.929,Colombia
Colombia,industrial energy use,coal,coal,2090,delivered coal,0.933,Colombia
Colombia,industrial energy use,coal,coal,2095,delivered coal,0.936,Colombia
Colombia,industrial energy use,coal,coal,2100,delivered coal,0.936,Colombia
Colombia,industrial energy use,coal,coal cogen,1975,delivered coal,0.587,Colombia
Colombia,industrial energy use,coal,coal cogen,1990,delivered coal,0.605,Colombia
Colombia,industrial energy use,coal,coal cogen,2005,delivered coal,0.623,Colombia
Colombia,industrial energy use,coal,coal cogen,2010,delivered coal,0.625,Colombia
Colombia,industrial energy use,coal,coal cogen,2015,delivered coal,0.627,Colombia
Colombia,industrial energy use,coal,coal cogen,2020,delivered coal,0.629,Colombia
Colombia,industrial energy use,coal,coal cogen,2025,delivered coal,0.631,Colombia
Colombia,industrial energy use,coal,coal cogen,2030,delivered coal,0.634,Colombia
Colombia,industrial energy use,coal,coal cogen,2035,delivered coal,0.636,Colombia
Colombia,industrial energy use,coal,coal cogen,2040,delivered coal,0.639,Colombia
Colombia,industrial energy use,coal,coal cogen,2045,delivered coal,0.641,Colombia
Colombia,industrial energy use,coal,coal cogen,2050,delivered coal,0.644,Colombia
Colombia,industrial energy use,coal,coal cogen,2055,delivered coal,0.647,Colombia
Colombia,industrial energy use,coal,coal cogen,2060,delivered coal,0.649,Colombia
Colombia,industrial energy use,coal,coal cogen,2065,delivered coal,0.652,Colombia
Colombia,industrial energy use,coal,coal cogen,2070,delivered coal,0.655,Colombia
Colombia,industrial energy use,coal,coal cogen,2075,delivered coal,0.658,Colombia
Colombia,industrial energy use,coal,coal cogen,2080,delivered coal,0.661,Colombia
Colombia,industrial energy use,coal,coal cogen,2085,delivered coal,0.664,Colombia
Colombia,industrial energy use,coal,coal cogen,2090,delivered coal,0.667,Colombia
Colombia,industrial energy use,coal,coal cogen,2095,delivered coal,0.67,Colombia
Colombia,industrial energy use,coal,coal cogen,2100,delivered coal,0.67,Colombia
Colombia,industrial energy use,district heat,district heat,1975,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,1990,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2005,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2010,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2015,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2020,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2025,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2030,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2035,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2040,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2045,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2050,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2055,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2060,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2065,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2070,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2075,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2080,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2085,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2090,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2095,district heat,1,Colombia
Colombia,industrial energy use,district heat,district heat,2100,district heat,1,Colombia
Colombia,industrial energy use,electricity,electricity,1975,elect_td_ind,0.942,Colombia
Colombia,industrial energy use,electricity,electricity,1990,elect_td_ind,0.971,Colombia
Colombia,industrial energy use,electricity,electricity,2005,elect_td_ind,1,Colombia
Colombia,industrial energy use,electricity,electricity,2010,elect_td_ind,1.005,Colombia
Colombia,industrial energy use,electricity,electricity,2015,elect_td_ind,1.01,Colombia
Colombia,industrial energy use,electricity,electricity,2020,elect_td_ind,1.015,Colombia
Colombia,industrial energy use,electricity,electricity,2025,elect_td_ind,1.02,Colombia
Colombia,industrial energy use,electricity,electricity,2030,elect_td_ind,1.025,Colombia
Colombia,industrial energy use,electricity,electricity,2035,elect_td_ind,1.03,Colombia
Colombia,industrial energy use,electricity,electricity,2040,elect_td_ind,1.035,Colombia
Colombia,industrial energy use,electricity,electricity,2045,elect_td_ind,1.041,Colombia
Colombia,industrial energy use,electricity,electricity,2050,elect_td_ind,1.046,Colombia
Colombia,industrial energy use,electricity,electricity,2055,elect_td_ind,1.051,Colombia
Colombia,industrial energy use,electricity,electricity,2060,elect_td_ind,1.057,Colombia
Colombia,industrial energy use,electricity,electricity,2065,elect_td_ind,1.062,Colombia
Colombia,industrial energy use,electricity,electricity,2070,elect_td_ind,1.067,Colombia
Colombia,industrial energy use,electricity,electricity,2075,elect_td_ind,1.073,Colombia
Colombia,industrial energy use,electricity,electricity,2080,elect_td_ind,1.078,Colombia
Colombia,industrial energy use,electricity,electricity,2085,elect_td_ind,1.083,Colombia
Colombia,industrial energy use,electricity,electricity,2090,elect_td_ind,1.089,Colombia
Colombia,industrial energy use,electricity,electricity,2095,elect_td_ind,1.094,Colombia
Colombia,industrial energy use,electricity,electricity,2100,elect_td_ind,1.094,Colombia
Colombia,industrial energy use,gas,gas,1975,wholesale gas,0.833,Colombia
Colombia,industrial energy use,gas,gas,1990,wholesale gas,0.858,Colombia
Colombia,industrial energy use,gas,gas,2005,wholesale gas,0.884,Colombia
Colombia,industrial energy use,gas,gas,2010,wholesale gas,0.889,Colombia
Colombia,industrial energy use,gas,gas,2015,wholesale gas,0.893,Colombia
Colombia,industrial energy use,gas,gas,2020,wholesale gas,0.898,Colombia
Colombia,industrial energy use,gas,gas,2025,wholesale gas,0.903,Colombia
Colombia,industrial energy use,gas,gas,2030,wholesale gas,0.908,Colombia
Colombia,industrial energy use,gas,gas,2035,wholesale gas,0.913,Colombia
Colombia,industrial energy use,gas,gas,2040,wholesale gas,0.917,Colombia
Colombia,industrial energy use,gas,gas,2045,wholesale gas,0.922,Colombia
Colombia,industrial energy use,gas,gas,2050,wholesale gas,0.926,Colombia
Colombia,industrial energy use,gas,gas,2055,wholesale gas,0.931,Colombia
Colombia,industrial energy use,gas,gas,2060,wholesale gas,0.936,Colombia
Colombia,industrial energy use,gas,gas,2065,wholesale gas,0.941,Colombia
Colombia,industrial energy use,gas,gas,2070,wholesale gas,0.946,Colombia
Colombia,industrial energy use,gas,gas,2075,wholesale gas,0.95,Colombia
Colombia,industrial energy use,gas,gas,2080,wholesale gas,0.955,Colombia
Colombia,industrial energy use,gas,gas,2085,wholesale gas,0.96,Colombia
Colombia,industrial energy use,gas,gas,2090,wholesale gas,0.964,Colombia
Colombia,industrial energy use,gas,gas,2095,wholesale gas,0.969,Colombia
Colombia,industrial energy use,gas,gas,2100,wholesale gas,0.969,Colombia
Colombia,industrial energy use,gas,gas cogen,1975,wholesale gas,0.568,Colombia
Colombia,industrial energy use,gas,gas cogen,1990,wholesale gas,0.585,Colombia
Colombia,industrial energy use,gas,gas cogen,2005,wholesale gas,0.603,Colombia
Colombia,industrial energy use,gas,gas cogen,2010,wholesale gas,0.606,Colombia
Colombia,industrial energy use,gas,gas cogen,2015,wholesale gas,0.609,Colombia
Colombia,industrial energy use,gas,gas cogen,2020,wholesale gas,0.612,Colombia
Colombia,industrial energy use,gas,gas cogen,2025,wholesale gas,0.615,Colombia
Colombia,industrial energy use,gas,gas cogen,2030,wholesale gas,0.618,Colombia
Colombia,industrial energy use,gas,gas cogen,2035,wholesale gas,0.621,Colombia
Colombia,industrial energy use,gas,gas cogen,2040,wholesale gas,0.624,Colombia
Colombia,industrial energy use,gas,gas cogen,2045,wholesale gas,0.627,Colombia
Colombia,industrial energy use,gas,gas cogen,2050,wholesale gas,0.63,Colombia
Colombia,industrial energy use,gas,gas cogen,2055,wholesale gas,0.633,Colombia
Colombia,industrial energy use,gas,gas cogen,2060,wholesale gas,0.637,Colombia
Colombia,industrial energy use,gas,gas cogen,2065,wholesale gas,0.64,Colombia
Colombia,industrial energy use,gas,gas cogen,2070,wholesale gas,0.643,Colombia
Colombia,industrial energy use,gas,gas cogen,2075,wholesale gas,0.646,Colombia
Colombia,industrial energy use,gas,gas cogen,2080,wholesale gas,0.649,Colombia
Colombia,industrial energy use,gas,gas cogen,2085,wholesale gas,0.652,Colombia
Colombia,industrial energy use,gas,gas cogen,2090,wholesale gas,0.656,Colombia
Colombia,industrial energy use,gas,gas cogen,2095,wholesale gas,0.659,Colombia
Colombia,industrial energy use,gas,gas cogen,2100,wholesale gas,0.659,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,1975,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,1990,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2005,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2010,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2015,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2020,H2 enduse,1,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2025,H2 enduse,1.005,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2030,H2 enduse,1.01,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2035,H2 enduse,1.015,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2040,H2 enduse,1.02,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2045,H2 enduse,1.025,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2050,H2 enduse,1.03,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2055,H2 enduse,1.035,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2060,H2 enduse,1.041,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2065,H2 enduse,1.046,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2070,H2 enduse,1.051,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2075,H2 enduse,1.057,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2080,H2 enduse,1.062,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2085,H2 enduse,1.067,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2090,H2 enduse,1.073,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2095,H2 enduse,1.078,Colombia
Colombia,industrial energy use,hydrogen,hydrogen,2100,H2 enduse,1.078,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,1975,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,1990,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2005,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2010,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2015,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2020,H2 enduse,0.457,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2025,H2 enduse,0.459,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2030,H2 enduse,0.462,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2035,H2 enduse,0.464,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2040,H2 enduse,0.466,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2045,H2 enduse,0.469,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2050,H2 enduse,0.471,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2055,H2 enduse,0.473,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2060,H2 enduse,0.476,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2065,H2 enduse,0.478,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2070,H2 enduse,0.48,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2075,H2 enduse,0.483,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2080,H2 enduse,0.485,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2085,H2 enduse,0.487,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2090,H2 enduse,0.49,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2095,H2 enduse,0.492,Colombia
Colombia,industrial energy use,hydrogen,hydrogen cogen,2100,H2 enduse,0.492,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,1975,refined liquids industrial,0.925,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.953,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.982,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2010,refined liquids industrial,0.988,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2015,refined liquids industrial,0.995,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2020,refined liquids industrial,1.001,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2025,refined liquids industrial,1.007,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2030,refined liquids industrial,1.012,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2035,refined liquids industrial,1.018,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2040,refined liquids industrial,1.023,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2045,refined liquids industrial,1.028,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2050,refined liquids industrial,1.033,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2055,refined liquids industrial,1.038,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2060,refined liquids industrial,1.042,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2065,refined liquids industrial,1.047,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2070,refined liquids industrial,1.052,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2075,refined liquids industrial,1.057,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2080,refined liquids industrial,1.062,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2085,refined liquids industrial,1.067,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2090,refined liquids industrial,1.072,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2095,refined liquids industrial,1.077,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2100,refined liquids industrial,1.077,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,1975,refined liquids industrial,0.57,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,1990,refined liquids industrial,0.587,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2005,refined liquids industrial,0.605,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2010,refined liquids industrial,0.608,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2015,refined liquids industrial,0.611,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2020,refined liquids industrial,0.614,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2025,refined liquids industrial,0.617,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2030,refined liquids industrial,0.62,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2035,refined liquids industrial,0.623,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2040,refined liquids industrial,0.626,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2045,refined liquids industrial,0.629,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2050,refined liquids industrial,0.632,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2055,refined liquids industrial,0.635,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2060,refined liquids industrial,0.639,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2065,refined liquids industrial,0.642,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2070,refined liquids industrial,0.645,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2075,refined liquids industrial,0.649,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2080,refined liquids industrial,0.652,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2085,refined liquids industrial,0.655,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2090,refined liquids industrial,0.659,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2095,refined liquids industrial,0.662,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2100,refined liquids industrial,0.662,Colombia
